accession	total-reads	card-cannonical	card-variants	denominator	percentage-cannonical	percentage-variants
W1S_AC1	9528644	6278198	6950165	13228363	47	53
W1S_AC2	7659320	5191784	5496776	10688560	49	51
W1S_AO1	6193772	4319872	4502630	8822502	49	51
W1S_AO2	8458160	3910119	4108490	8018609	49	51
W1S_CC1	8752268	6266600	6423593	12690193	49	51
W1S_CC2	10323916	7029379	7210609	14239988	49	51
W1S_HO1	7301538	4695984	5174710	9870694	48	52
W1S_HO2	6742436	4288598	4539740	8828338	49	51
W1S_SG1	7717857	8091	39306	47397	17	83
W1S_SG2	8944429	9705	44917	54622	18	82
W2S_AC1	5876024	3056390	3225051	6281441	49	51
W2S_AC2	8303619	1801489	2059349	3860838	47	53
W2S_AO1	7074844	2593693	2740022	5333715	49	51
W2S_AO2	6075860	2513376	2573947	5087323	49	51
W2S_CC1	8873414	3840454	3982388	7822842	49	51
W2S_CC2	6379148	3576296	3705490	7281786	49	51
W2S_HO1	6561787	2688000	3009172	5697172	47	53
W2S_HO2	5722204	2851545	3190467	6042012	47	53
W2S_SG1	8642635	9737	34183	43920	22	78
W2S_SG2	9843995	11260	38253	49513	23	77
