ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
CblA-1	3002999	protein homolog model	CARD	1	100.0	no data	no data	mixed culture	8.00	0.00	8.00	54.66	487.00	185.38	0	0	0	0	N/A	N/A		891	CblA beta-lactamase	cephalosporin	antibiotic inactivation
dfrF	3002867	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	3.00	0.00	3.00	66.06	327.00	177.33	0	0	0	0	N/A	N/A		495	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
OXA-212	3001711	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	5.00	0.00	5.00	63.64	525.00	190.00	0	0	0	0	N/A	N/A		825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penam	antibiotic inactivation
msrE	3003109	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	1242.00	0.00	1242.00	100.00	1476.00	196.74	0	0	0	0	N/A	N/A		1476	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
FosA2	3002804	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	1.00	0.00	1.00	35.45	151.00	166.00	0	0	0	0	N/A	N/A		426	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
AAC(3)-Ia	3002528	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	11.00	0.00	11.00	98.28	457.00	166.18	0	0	0	0	N/A	N/A		465	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
OXY-6-1	3002413	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella oxytoca	4.00	0.00	4.00	40.75	357.00	143.50	0	0	0	0	N/A	N/A		876	OXY beta-lactamase	monobactam; cephalosporin; penam	antibiotic inactivation
mdtP	3003550	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	0.00	2.00	8.86	130.00	187.00	0	0	0	0	N/A	N/A		1467	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
AAC(6')-Ib	3002546	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	3.00	0.00	3.00	58.92	327.00	200.67	0	0	0	0	N/A	N/A		555	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
gadX	3000508	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	0.00	2.00	36.61	302.00	193.50	0	0	0	0	N/A	N/A		825	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
TLA-2	3003203	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	6.00	0.00	6.00	65.14	596.00	147.33	0	0	0	0	N/A	N/A		915	TLA beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
mdtF	3000796	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	28.00	0.00	28.00	64.90	2021.00	145.43	0	0	0	0	N/A	N/A		3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
CMY-9	3002020	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	0.00	2.00	17.32	199.00	184.50	0	0	0	0	N/A	N/A		1149	CMY beta-lactamase	cephamycin	antibiotic inactivation
catB3	3002676	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	2.00	0.00	2.00	24.96	158.00	186.50	0	0	0	0	N/A	N/A		633	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
cpxA	3000830	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	31.00	0.00	31.00	77.37	1063.00	143.00	0	0	0	0	N/A	N/A		1374	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux
adeF	3000777	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	3.00	0.00	3.00	11.42	363.00	165.33	0	0	0	0	N/A	N/A		3180	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
dfrA21	3003017	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	1.00	0.00	1.00	30.32	151.00	194.00	0	0	0	0	N/A	N/A		498	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
tet(E)	3000173	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	31.00	0.00	31.00	86.21	1050.00	185.19	0	0	0	0	N/A	N/A		1218	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
CfxA2	3003002	protein homolog model	CARD	1	100.0	no data	no data	Prevotella intermedia	2.00	0.00	2.00	31.26	302.00	201.00	0	0	0	0	N/A	N/A		966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
OXA-12	3001407	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas sobria	7.00	0.00	7.00	75.85	603.00	129.14	0	0	0	0	N/A	N/A		795	OXA beta-lactamase; OXA-12-like beta-lactamase	penam	antibiotic inactivation
sdiA	3000826	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	7.00	0.00	7.00	45.09	326.00	109.29	0	0	0	0	N/A	N/A		723	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
imiH	3003094	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas hydrophila	7.00	0.00	7.00	80.78	618.00	153.86	0	0	0	0	N/A	N/A		765	CphA beta-lactamase	carbapenem	antibiotic inactivation
OXA-9	3001404	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	4.00	0.00	4.00	32.48	268.00	131.00	0	0	0	0	N/A	N/A		825	OXA beta-lactamase; OXA-9-like beta-lactamase	penam	antibiotic inactivation
ACT-37	3003172	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	1.00	0.00	1.00	13.18	151.00	181.00	0	0	0	0	N/A	N/A		1146	ACT beta-lactamase	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation
lsaE	3003206	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	37.00	0.00	37.00	94.41	1402.00	192.95	0	0	0	0	N/A	N/A		1485	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection
CfxA6	3003097	protein homolog model	CARD	1	100.0	no data	no data	uncultured organism	31.00	0.00	31.00	98.59	982.00	151.45	0	0	0	0	N/A	N/A		996	CfxA beta-lactamase	cephamycin	antibiotic inactivation
smeD	3003055	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	7.00	0.00	7.00	60.68	719.00	94.71	0	0	0	0	N/A	N/A		1185	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
APH(3')-Ia	3002641	protein homolog model	CARD	1	100.0	no data	no data	Serratia marcescens	2.00	0.00	2.00	27.57	225.00	183.50	0	0	0	0	N/A	N/A		816	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
CfxA4	3003005	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	23.00	0.00	23.00	100.00	966.00	190.70	0	0	0	0	N/A	N/A		966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
CepS	3003553	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas sobria	2.00	0.00	2.00	20.63	237.00	179.00	0	0	0	0	N/A	N/A		1149	CepS beta-lactamase	cephalosporin	antibiotic inactivation
OXY-3-1	3002409	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella oxytoca	2.00	0.00	2.00	22.61	196.00	119.00	0	0	0	0	N/A	N/A		867	OXY beta-lactamase	monobactam; cephalosporin; penam	antibiotic inactivation
mdtH	3001216	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	14.00	0.00	14.00	60.63	733.00	133.50	0	0	0	0	N/A	N/A		1209	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
lnuC	3002837	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus agalactiae	7.00	0.00	7.00	90.71	449.00	181.71	0	0	0	0	N/A	N/A		495	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
mdtA	3000792	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	6.00	0.00	6.00	62.90	785.00	190.67	0	0	0	0	N/A	N/A		1248	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
catB8	3002680	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	2.00	0.00	2.00	46.92	297.00	199.00	0	0	0	0	N/A	N/A		633	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
CARB-3	3002242	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	2.00	0.00	2.00	24.92	228.00	191.00	0	0	0	0	N/A	N/A		915	CARB beta-lactamase	penam	antibiotic inactivation
OXA-4	3001399	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	16.00	0.00	16.00	84.60	703.00	193.88	0	0	0	0	N/A	N/A		831	OXA beta-lactamase; OXA-1-like beta-lactamase	cephalosporin; penam	antibiotic inactivation
mphF	3003071	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	9.00	0.00	9.00	76.22	686.00	191.11	0	0	0	0	N/A	N/A		900	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
macB	3000535	protein homolog model	CARD	1	100.0	no data	no data	Neisseria gonorrhoeae	21.00	0.00	21.00	49.30	954.00	103.29	0	0	0	0	N/A	N/A		1935	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
tet(W)	3000194	protein homolog model	CARD	1	100.0	no data	no data	Butyrivibrio fibrisolvens	61.00	0.00	61.00	100.00	1920.00	190.82	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
dfrA3	3003105	protein homolog model	CARD	1	100.0	no data	no data	Plasmid pAZ1	1.00	0.00	1.00	30.88	151.00	170.00	0	0	0	0	N/A	N/A		489	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
emrY	3000254	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	0.00	2.00	19.56	301.00	199.00	0	0	0	0	N/A	N/A		1539	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
adeH	3000779	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	2.00	0.00	2.00	20.80	302.00	200.00	0	0	0	0	N/A	N/A		1452	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
TLA-1	3003202	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	4.00	0.00	4.00	59.89	566.00	198.50	0	0	0	0	N/A	N/A		945	TLA beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
CMY-71	3002084	protein homolog model	CARD	1	100.0	no data	no data	Citrobacter freundii	10.00	0.00	10.00	68.59	786.00	200.90	0	0	0	0	N/A	N/A		1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
mdtG	3001329	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	4.00	0.00	4.00	40.99	503.00	184.50	0	0	0	0	N/A	N/A		1227	major facilitator superfamily (MFS) antibiotic efflux pump	phosphonic acid antibiotic	antibiotic efflux
emrK	3000206	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	4.00	0.00	4.00	49.81	526.00	189.25	0	0	0	0	N/A	N/A		1056	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
OXA-211	3001710	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	41.00	0.00	41.00	93.94	775.00	197.20	0	0	0	0	N/A	N/A		825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penam	antibiotic inactivation
ErmF	3000498	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	26.00	0.00	26.00	100.00	801.00	190.00	0	0	0	0	N/A	N/A		801	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
adeJ	3000781	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	270.00	0.00	270.00	62.45	1984.00	130.36	0	0	0	0	N/A	N/A		3177	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem	antibiotic efflux
smeF	3003057	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	9.00	0.00	9.00	54.53	764.00	120.89	0	0	0	0	N/A	N/A		1401	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
aadA	3002601	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	46.00	0.00	46.00	93.69	742.00	187.17	0	0	0	0	N/A	N/A		792	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
eptA	3003576	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	15.00	0.00	15.00	66.79	1098.00	143.47	0	0	0	0	N/A	N/A		1644	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
AcrS	3000656	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	4.00	0.00	4.00	58.52	388.00	179.25	0	0	0	0	N/A	N/A		663	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
dfrB1	3002864	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.00	0.00	1.00	63.71	151.00	201.00	0	0	0	0	N/A	N/A		237	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
FOX-2	3002156	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	0.00	2.00	16.80	193.00	197.50	0	0	0	0	N/A	N/A		1149	FOX beta-lactamase	cephalosporin; cephamycin	antibiotic inactivation
cphA4	3003100	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas allosaccharophila	2.00	0.00	2.00	34.38	263.00	180.50	0	0	0	0	N/A	N/A		765	CphA beta-lactamase	carbapenem	antibiotic inactivation
tetB(P)	3000195	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	3.00	0.00	3.00	22.46	440.00	159.33	0	0	0	0	N/A	N/A		1959	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
lnuB	3002836	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	23.00	0.00	23.00	100.00	804.00	179.87	0	0	0	0	N/A	N/A		804	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
OXA-3	3001398	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	3.00	0.00	3.00	42.27	350.00	156.00	0	0	0	0	N/A	N/A		828	OXA beta-lactamase; OXA-2-like beta-lactamase	cephalosporin; penam	antibiotic inactivation
mdtB	3000793	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	41.00	0.00	41.00	72.75	2272.00	137.51	0	0	0	0	N/A	N/A		3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
tet(X)	3000205	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	11.00	0.00	11.00	70.95	828.00	183.82	0	0	0	0	N/A	N/A		1167	tetracycline inactivation enzyme	glycylcycline; tetracycline antibiotic	antibiotic inactivation
adeB	3000775	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	4.00	0.00	4.00	17.70	550.00	171.50	0	0	0	0	N/A	N/A		3108	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline; tetracycline antibiotic	antibiotic efflux
